,appid,Developer
1048,469730,SnowFlame
1049,223850,UL
1050,302510,Crytek
1051,604500,Extreme Developers
1052,356500,Ensemble Studios
1053,223710,Team Psykskallar
1054,212480,Sumo Digital
1055,434570,Big Corporation
1056,507390,Florastamine
1057,585900,"TABOT, inc."
1058,218680,5th Cell Media
1059,377530,Heluo Studio
1060,35700,Frozenbyte
1061,575840,Duck
1062,3990,Firaxis Games
1063,266510,Defiant Development
1064,209870,"Hardsuit Labs, Inc."
1065,214170,Larian Studios
1066,400740,GDNomad
1067,393530,PlayFlock
1068,452060,Deadpan Games
1069,312990,Free Lives
1070,471010,IMGN.PRO
1071,265300,CI Games
1072,640590,Traveller's Tales
1073,17470,EA Redwood Shores
1074,448280,Owlchemy Labs
1075,384180,Pipeworks Studio
1076,290730,Gravvit Ltd
1077,261030,Telltale Games
1079,259080,Avalanche Studios
1080,607200,AlternativaPlatform
1082,407530,Studio Wildcard
1083,419480,Little Green Men Games
1084,598330,LVGameDev LLC
1085,564530,Impressions Games
1086,571260,SNK CORPORATION
1087,235400,Nival
1088,289520,1C-SoftClub
1089,495780,Studio Binokle
