,appid,Publisher
777,384740,Ionized Games
778,425580,Fireproof Games
779,527100,Ubisoft
780,205990,Paradox Interactive
781,298030,Wargaming.net
782,500710,Juvty Worlds Ltd.
784,492130,Efimov Max
785,421050,Daedalic Entertainment
786,312750,Square Enix
787,464060,Devolver Digital
788,527270,"KOEI TECMO GAMES CO., LTD."
789,453090,Texel Raptor
790,435400,Adriaan de Jongh
791,13210,"Epic Games, Inc."
792,542480,Virtys
793,232010,SCS Software
794,2810,Egosoft
795,338180,Abyss Lights Studio LLP
796,454080,David Mulder
797,70400,Carpe Fulgur LLC
798,33340,Ubisoft
799,235800,Dylan Fitterer
800,7760,2K
801,243950,Larian Studios
802,239840,DoubleBear Productions
803,308040,Bedtime Digital Games
804,629690,"Fatbot Games, s. r. o."
805,322520,"KOEI TECMO GAMES CO., LTD."
806,313780,Iceberg Interactive
807,522470,Blue Brain Games
808,228300,Capcom
809,385730,2K
810,235320,Bohemia Interactive
811,350110,astragon Entertainment 
813,507300,2tainment GmbH
814,234710,Telltale Games
815,231060,Gravity Interactive
816,639790,Neko Climax Studios
817,32500,LucasArts
818,345240,SEGA
819,317820,Versus Evil
820,312280,BlueLine Games
822,311260,THQ Nordic
824,504210,Zachtronics
825,682130,Robert Borghese
826,247020,Vertigo Gaming Inc.
827,339340,"CAPCOM Co., Ltd."
829,322920,Expansive Worlds
830,287260,Codemasters
832,46500,Microids
834,384190,505 Games
835,375950,Ice Water Games
836,221540,505 Games
837,324510,Square Enix
838,385380,Permadeath
839,57900,2K
840,467000,New Reality Games
841,448500,Blake Fix
842,441550,LucasArts
843,274900,JForce Games
844,423230,The Game Bakers
845,256290,Ubisoft
846,296470,Stegersaurus Software Inc.
847,236150,Iceberg Interactive
849,2100,Ubisoft
851,8600,SimBin
852,299460,Chubby Pixel
853,70600,Team17 Digital Ltd
854,417860,Kyle Seeley
855,224480,Young Horses
856,216890,Focus Home Interactive
857,39200,Square Enix
858,216260,Big Ant Studios
859,425220,BANDAI NAMCO Entertainment
860,292910,Daedalic Entertainment
862,220740,Daedalic Entertainment
863,244730,Iron Galaxy
864,215100,Gravity Interactive
865,362680,Killmonday Games AB
866,328080,SixtyGig Games
867,370360,Zachtronics
869,446020,Excalibur Games
870,314410,Rake in Grass
871,9340,SEGA
872,237870,Pathea Games
873,301320,Mad Data GmbH & Co. KG
874,340050,Ginormocorp Holdings Ltd
875,448080,"Jackbox Games, Inc."
876,323220,Nuke Nine
877,583010,VoiceAttack.com
878,2620,Activision
879,252410,Image & Form Games
880,231160,Facepalm Games
881,32360,LucasArts
882,486780,Halfbrick Studios Pty Ltd
883,561600,Milestone S.r.l.
